p'_data,U_ro_data
0.36 ,36.71 
0.56 ,38.28 
0.76 ,39.27 
0.96 ,39.42 
1.16 ,39.46 
1.36 ,39.50 
1.56 ,39.53 
1.96 ,39.61 
2.56 ,39.64 
2.96 ,39.69 
3.36 ,39.72 
3.76 ,39.75 
3.96 ,39.81 
4.16 ,39.83 
4.36 ,39.85 
4.56 ,39.86 
4.76 ,39.88 
4.96 ,39.90 
5.16 ,39.92 
5.36 ,39.94 
5.56 ,39.94 
5.76 ,39.98 
6.16 ,40.04 
6.56 ,40.09 
6.76 ,40.11 
7.16 ,40.17 
7.56 ,40.22 
7.76 ,40.26 
8.16 ,40.33 
8.56 ,40.39 
8.96 ,40.47 
9.36 ,40.54 
9.76 ,40.63 
10.16 ,40.71 
10.56 ,40.80 
10.96 ,40.92 
11.36 ,40.99 
11.76 ,41.10 
12.16 ,41.18 
12.56 ,41.26 
12.96 ,41.37 
13.36 ,41.52 
13.76 ,41.62 
